Restaurant ID,Restaurant First Active Date,GMV (Gross Merchandise Value) (EUR),Total Sales Before Discount (EUR),Commission (EUR),Bolt Investments to User Discounts (EUR),Restaurant Investments to User Discount (EUR),Net Rate (%),Requested Orders,Total Number of Delivered Orders,Monthly Active Users,New Users,Menu Conversion (%),Availability Rate (%),Menu Photo Coverage (%),restaurant Average Rates,Restaurant Total Rates,Restaurant Avergae Cooking Time
53947,44827,332.003606,310.830973,53.09744402,2.62524915,0,0.06482425,17,17,16,1,0.014297729,0.992618799,0.088888891,3.5,14,17.88235283
53805,44827,7945.676454,7526.579053,1167.116544,23.73384843,3010.6318,0.07306308,282,277,229,10,0.079134643,0.962822318,0.909090936,3.84375,123,14.7978344
53619,44827,59.950971,51.66409,14.61653649,0.52455828,0,0.03568744,6,6,6,1,0.119999997,0.864064574,0.647058845,,0,9
53796,44825,851.471322,777.338082,233.1944696,36.87058548,0,0.11807002,58,56,38,4,0.078620687,0.984567761,0.06122449,3.5,7,11.76785755
47173,44825,255.150909,244.227174,64.91563397,2.7451517,27.8306,0.17095434,11,11,11,0,0.026506023,1,0.380952388,3,3,22.72727203
53460,44824,2534.060093,2362.842276,354.41626,10.83426317,945.1186,0.04232789,118,117,108,4,0.062665962,0.981377363,1,3.571428537,50,8.606837273
51937,44820,2360.785134,2215.076464,457.6836445,264.2819393,56.4753,-0.00747072,110,110,93,2,0.102830186,1,1,4.428571224,62,18.95454597
53618,44819,137.604846,112.431496,30.35841067,0,0,0.06567152,11,11,11,0,0.05820106,0.903769732,0.933333337,5,5,10.090909
53367,44818,2720.618597,2615.887457,468.3530371,4.19123375,1046.3553,0.12257943,79,79,70,6,0.081780538,0.98129195,0.859649122,4.199999809,21,24.15189934
49923,44818,2664.077733,2426.926471,348.3100853,0,0,0.06866618,135,132,114,2,0.047434997,0.996552408,1,4,52,9.151515007
52344,44816,1514.149979,1464.398565,201.0827651,133.6116514,147.6176,0.04456039,51,51,44,7,0.049853373,0.94860673,0,,0,37.45098114
49853,44812,2667.996925,2510.794001,549.9881671,128.2321515,0,0.05092754,180,177,144,1,0.193722948,0.981355369,0.839285731,4.571428776,64,10.06779671
52357,44809,280.706245,255.067309,69.91389193,5.49883957,22.0209,0.09209458,25,25,18,1,0.206611574,0.997057259,0.96825397,3.200000048,16,22
52700,44804,1310.639182,1185.595198,353.7384957,29.1929776,0,0.14198978,91,89,60,1,0.111392409,0.998162746,0.129411772,4.846153736,63,17.84269714
52356,44802,781.246701,741.798328,103.8530075,20.66661059,0,0.10647904,62,59,42,3,0.16052632,0.867272913,0.90322578,,0,24.77966118
44045,44798,3909.630366,3636.611917,506.3987784,0,0,0.06090828,179,178,145,9,0.087754093,0.995193005,1,4.038461685,105,11.21910095
44046,44798,15740.68406,14668.02303,2018.431567,-0.71916799,0,0.06572299,713,709,541,13,0.164807066,0.996340394,1,4.105263233,234,9.02397728
47006,44798,1338.73363,1244.651565,153.4658156,0,1.4706,0.0720018,64,63,61,3,0.038485035,0.996718168,1,4.199999809,21,10.96825409
52083,44797,1567.728788,1439.903603,356.5657935,35.00891546,290.6581,0.09340343,100,97,89,4,0.041442189,0.978610933,0.956521749,3.25,26,12.82474232
52082,44797,256.390969,233.543733,70.05974578,15.38781307,0,0.10937805,15,15,14,1,0.033557046,0.962024331,0.970588207,4,4,10.0666666
52355,44796,1594.228272,1513.110417,295.7244973,61.41274351,315.487,0.05836903,105,102,81,5,0.205078125,0.815857232,0.857142866,4,40,14.73529434
50444,44796,1631.403776,1508.619965,229.5204724,1.05344317,0,0.0700956,72,72,65,3,0.039183222,0.999396145,1,4.666666508,14,14.81944466
44044,44796,7106.80542,6678.999437,926.6763764,0,0,0.06657729,329,328,258,10,0.090682887,0.996717393,1,4.300000191,86,10.03963375
51656,44796,1431.026323,1311.988667,367.3547203,35.67717117,0,0.09022991,112,111,75,1,0.274074078,0.977403402,0.587356865,4.5,27,20.79279327
51476,44793,1264.843898,1194.844393,250.6371712,65.45587351,0,0.05842969,86,83,66,5,0.181818187,0.955265284,0.86153847,4.800000191,24,11.34939766
43947,44793,2164.293204,2047.951317,430.0697759,-0.52353927,669.134,0.12302651,104,104,71,1,0.09214092,0.857732296,0.055045873,4.111111164,74,22.19230843
52191,44793,7519.978189,7109.216812,1270.38995,-1.050833,2843.6863,0.10350988,263,260,229,12,0.094202898,0.983628869,0.37884289,4.119999886,103,15.1884613
52153,44792,1325.609557,1227.397384,274.0531738,3.37869282,308.9449,0.10202668,65,64,58,3,0.03245436,0.990249217,0,3,15,21.359375
43211,44792,3925.421355,3765.538665,731.1838135,1.16204259,1211.7493,0.11882215,173,170,139,3,0.130368099,0.839642048,0.031578947,3.611111164,65,22.86470604
51954,44792,1497.455428,1330.938515,261.8289066,77.38770383,0,-0.00463353,146,142,111,4,0.331797242,0.881486177,0.910344839,3.555555582,32,7.859154701
51953,44792,2142.691518,1885.715702,372.3539625,54.35304087,0,0.00478431,185,178,136,9,0.341372907,0.949510098,0.910344839,3.357142925,47,10.35393238
51956,44792,360.397875,314.299497,62.87168437,20.97251055,0,-0.03084565,31,29,20,0,0.283018857,0.907201111,0.910344839,3.333333254,20,9.827586174
51955,44792,395.414626,345.259814,69.06166722,60.4696962,0,-0.10392288,28,27,26,5,0.159090906,0.988400221,0.910344839,3.75,15,19.11111069
